"municipality","redist_population"
"Banja Luka",195692
"Banovići",26590
"Bihać",70732
"Bijeljina",96988
"Bileća",13284
"Bosanska Krupa",38420
"Brod",34138
"Bosanski Petrovac",15213
"Bosansko Grahovo",8311
"Bratunac",33619
"Brčko",87627
"Breza",17317
"Bugojno",46889
"Busovača",18879
"Čajniče",8956
"Čapljina",27882
"Cazin",63409
"Čelinac",18713
"Sarajevo Centar",79286
"Čitluk",15083
"Derventa",56489
"Doboj",90288
"Donji Vakuf",24544
"Drvar",17065
"Dubica",31606
"Foča",36140
"Fojnica",16296
"Gacko",10788
"Glamoč",12593
"Goražde",32760
"Gornji Vakuf-Uskoplje",25181
"Gračanica",49979
"Gradačac",46248
"Gradiška",59974
"Grude",16358
"Hadžići",24200
"Han Pijesak",6348
"Ilidža",59347
"Ilijaš",25184
"Jablanica",12691
"Jajce",42846
"Kakanj",55950
"Kalesija",34469
"Kalinovik",4667
"Kiseljak",24164
"Kladanj",16070
"Ključ",28257
"Konjic",43878
"Kotor Varoš",36853
"Kreševo",6731
"Kupres-FBIH",8837
"Laktaši",29832
"Livno",40600
"Ljubinje",4172
"Ljubuški",28340
"Lopare",20200
"Lukavac",57070
"Maglaj",43388
"Modriča",35613
"Mostar",126066
"Mrkonjić Grad",27395
"Neum",4325
"Nevesinje",14448
"Novi Grad",35434
"Sarajevo Novi Grad",136616
"Novi Travnik",30713
"Novo Sarajevo",91007
"Odžak",21974
"Olovo",16956
"Orašje",24275
"Pale",14394
"Posušje",17134
"Prijedor",112543
"Prnjavor",47055
"Prozor-Rama",19760
"Rogatica",21978
"Rudo",11571
"Šamac",26645
"Sanski Most",54561
"Šekovići",9629
"Šipovo",15579
"Široki Brijeg",27160
"Skender Vakuf",14628
"Sokolac",14883
"Srbac",21840
"Srebrenica",36666
"Srebrenik",40896
"Sarajevo Stari Grad",49364
"Stolac",15169
"Tešanj",39853
"Teslić",59854
"Tomislavgrad",30009
"Travnik",70747
"Trebinje",29192
"Trnovo-RS",3853
"Tuzla",131618
"Ugljevik",17814
"Vareš",22203
"Velika Kladuša",52908
"Višegrad",21199
"Visoko",46160
"Vitez",27859
"Vlasenica",17904
"Vogošća",24647
"Zavidovići",57164
"Zenica",145517
"Žepče",22966
"Živinice",54783
"Zvornik",67204
"Istočna Ilidža",8590
"Sapna",14091
"Istočno Novo Sarajevo",4082
"Čelić",12337
"Doboj Istok",9002
"Teočak",7773
"Usora",8627
"Petrovo",9155
"Ribnik",9134
"Osmaci",7340
"Pelagićevo",10333
"Domaljevac-Šamac",6315
"Vukosavlje",8082
"Doboj Jug",3259
"Donji Žabar",4092
"Ravno",1804
"Novo Goražde",4813
"Oštra Luka",5746
"Berkovići",3512
"Foča-Ustikolina",4373
"Dobretići",4790
"Krupa na Uni",2960
"Trnovo-FBIH",3138
"Jezero",2161
"Istočni Stari Grad",1380
"Pale-Prača",1961
"Petrovac",408
"Kupres-RS",781
"Istočni Mostar",562
"Istočni Drvar",61
"Bužim",16940
"Kostajnica",6231
"Milići",16038
